,Station,entries_diff,stop_lat,stop_lon
65,72 ST,8506.93859649,40.775594,-73.97641
146,HALSEY ST,8239.00884956,40.695602,-73.904084
176,OZONE PK LEFFRT,8222.21296296,40.685951,-73.825798
180,PENNSYLVANIA AV,8220.23611111,40.664635,-73.894895
166,MORGAN AV,8158.21551724,40.706152,-73.933147
189,SARATOGA AV,8117.94594595,40.661453,-73.916327
154,JEFFERSON ST,8087.9137931,40.706607,-73.922913
35,3 AV,8046.81896552,40.732849,-73.986122
139,GRAND ARMY PLAZ,7891.84482759,40.675235,-73.971046
149,HOYT ST,7870.87931034,40.690545,-73.985065
124,COURT SQ-23 ST,7850.07758621,40.747846,-73.946
128,DYCKMAN ST,7806.78761062,40.860531,-73.925536
142,GRANT AV,7680.87826087,40.677044,-73.86505
40,34 ST-HUDSON YD,7633.60344828,,
56,53 ST,7632.92857143,40.645069,-74.014034
165,MONTROSE AV,7581.90517241,40.707739,-73.93985
200,V.CORTLANDT PK,7559.5826087,40.889248,-73.898583
209,WOODLAWN,7558.34482759,40.886037,-73.878751
148,HIGH ST,7531.54782609,40.699337,-73.990531
173,NEW LOTS AV,7470.93043478,40.666235,-73.884079
42,36 AV,7347.88392857,40.756804,-73.929575
179,PELHAM BAY PARK,7215.26956522,40.852462,-73.828121
28,207 ST,7103.0173913,40.864621,-73.918822
70,79 ST,7088.36206897,40.613501,-74.00061
113,CASTLE HILL AV,6983.94827586,40.834255,-73.851222
167,MORISN AV/SNDVW,6924.9137931,40.829521,-73.874516
178,PARSONS BLVD,6746.25862069,40.707564,-73.803326
23,183 ST,6723.36521739,40.858407,-73.903879
199,UNION ST,6664.89655172,40.677316,-73.98311
64,71 ST,6599.36206897,40.619589,-73.998864
160,KINGSTON-THROOP,6566.45689655,40.679921,-73.940859
205,WESTCHESTER SQ,6552.44827586,40.839892,-73.842952
18,176 ST,6549.49137931,40.84848,-73.911794
188,ROOSEVELT ISLND,6476.92241379,40.759145,-73.95326
122,CORTELYOU RD,6366.72321429,40.640927,-73.963891
48,45 ST,6359.93965517,40.648939,-74.010006
118,CITY HALL,6293.24545455,40.713282,-74.006978
83,AVENUE J,6198.83185841,40.625039,-73.960803
195,STERLING ST,6051.54385965,40.662742,-73.95085
119,CLARK ST,6050.68103448,40.697466,-73.993086
95,BEDFORD PK BLVD,6016.15517241,40.873412,-73.890064
84,AVENUE M,5939.56140351,40.617618,-73.959399
168,MT EDEN AV,5882.31896552,40.844434,-73.914685
183,PROSPECT AV,5874.04310345,40.665414,-73.992872
163,MARBLE HILL-225,5815.71681416,40.874561,-73.909831
145,GUN HILL RD,5784.66964286,40.869526,-73.846384
121,CLINTON-WASH AV,5773.71551724,40.683263,-73.965838
69,77 ST,5758.06896552,40.629742,-74.02551
16,174-175 STS,5735.5862069,40.8459,-73.910136
22,182-183 STS,5653.39814815,40.856093,-73.900741
187,ROCKAWAY AV,5404.80851064,40.662549,-73.908946
27,20 AV,5373.03508772,40.604556,-73.998168
201,VAN SICLEN AV,5367.88888889,40.665449,-73.889395
120,CLASSON AV,5315.0862069,40.688873,-73.96007
