Station,Station,stop_lat,stop_lon
CHURCH AV,CHURCH AV,40.650527,-73.962982
CITY HALL,CITY HALL,40.713282,-74.006978
CLARK ST,CLARK ST,40.697466,-73.993086
CLASSON AV,CLASSON AV,40.688873,-73.96007
CLINTON-WASH AV,CLINTON-WASH AV,40.683263,-73.965838
CORTELYOU RD,CORTELYOU RD,40.640927,-73.963891
COURT SQ,COURT SQ,40.747846,-73.946
COURT SQ-23 ST,COURT SQ-23 ST,40.747846,-73.946
CROWN HTS-UTICA,CROWN HTS-UTICA,40.668897,-73.932942
CYPRESS HILLS,CYPRESS HILLS,40.689941,-73.87255
DEKALB AV,DEKALB AV,40.690635,-73.981824
DYCKMAN ST,DYCKMAN ST,40.860531,-73.925536
EAST BROADWAY,EAST BROADWAY,40.713715,-73.990173
EASTN PKWY-MUSM,EASTN PKWY-MUSM,40.671987,-73.964375
ELMHURST AV,ELMHURST AV,40.742454,-73.882017
EUCLID AV,EUCLID AV,40.675377,-73.872106
FAR ROCKAWAY,FAR ROCKAWAY,40.603995,-73.755405
FLUSHING-MAIN,FLUSHING-MAIN,40.7596,-73.83003
FORDHAM RD,FORDHAM RD,40.861296,-73.897749
FRANKLIN AV,FRANKLIN AV,40.670682,-73.958131
FULTON ST,FULTON ST,40.710197,-74.007691
GRAHAM AV,GRAHAM AV,40.714565,-73.944053
GRAND ARMY PLAZ,GRAND ARMY PLAZ,40.675235,-73.971046
GRAND ST,GRAND ST,40.711926,-73.94067
GRAND-NEWTOWN,GRAND-NEWTOWN,40.737015,-73.877223
GRANT AV,GRANT AV,40.677044,-73.86505
GRD CNTRL-42 ST,GRD CNTRL-42 ST,40.751776,-73.976848
GREENPOINT AV,GREENPOINT AV,40.731352,-73.954449
GUN HILL RD,GUN HILL RD,40.869526,-73.846384
HALSEY ST,HALSEY ST,40.695602,-73.904084
HARLEM 148 ST,HARLEM 148 ST,40.82388,-73.93647
HIGH ST,HIGH ST,40.699337,-73.990531
HOYT ST,HOYT ST,40.690545,-73.985065
HOYT-SCHER,HOYT-SCHER,40.688484,-73.985001
JAMAICA 179 ST,JAMAICA 179 ST,40.712646,-73.783817
JAMAICA CENTER,JAMAICA CENTER,40.702147,-73.801109
JAY ST-METROTEC,JAY ST-METROTEC,40.69218,-73.985942
JEFFERSON ST,JEFFERSON ST,40.706607,-73.922913
JKSN HT-ROOSVLT,JKSN HT-ROOSVLT,40.746644,-73.891338
JUNCTION BLVD,JUNCTION BLVD,40.749145,-73.869527
JUNIUS ST,JUNIUS ST,40.663515,-73.902447
KINGS HWY,KINGS HWY,40.60867,-73.957734
KINGSTON AV,KINGSTON AV,40.669399,-73.942161
KINGSTON-THROOP,KINGSTON-THROOP,40.679921,-73.940859
LEXINGTON AV/53,LEXINGTON AV/53,40.757552,-73.969055
LEXINGTON AV/63,LEXINGTON AV/63,40.76463,-73.966115
MARBLE HILL-225,MARBLE HILL-225,40.874561,-73.909831
METROPOLITAN AV,METROPOLITAN AV,40.711396,-73.889601
MONTROSE AV,MONTROSE AV,40.707739,-73.93985
MORGAN AV,MORGAN AV,40.706152,-73.933147
MORISN AV/SNDVW,MORISN AV/SNDVW,40.829521,-73.874516
MT EDEN AV,MT EDEN AV,40.844434,-73.914685
MYRTLE-WYCKOFF,MYRTLE-WYCKOFF,40.699814,-73.911586
NASSAU ST,NASSAU ST,40.724635,-73.951277
NECK RD,NECK RD,40.595246,-73.955161
NEVINS ST,NEVINS ST,40.688246,-73.980492
NEW LOTS AV,NEW LOTS AV,40.666235,-73.884079
NOSTRAND AV,NOSTRAND AV,40.680438,-73.950426
OCEAN PKWY,OCEAN PKWY,40.576312,-73.96849
OZONE PK LEFFRT,OZONE PK LEFFRT,40.685951,-73.825798
PARK PLACE,PARK PLACE,40.714111,-74.008585
PARSONS BLVD,PARSONS BLVD,40.707564,-73.803326
PELHAM BAY PARK,PELHAM BAY PARK,40.852462,-73.828121
PENNSYLVANIA AV,PENNSYLVANIA AV,40.664635,-73.894895
PRESIDENT ST,PRESIDENT ST,40.667883,-73.950683
PRINCE ST,PRINCE ST,40.724329,-73.997702
PROSPECT AV,PROSPECT AV,40.665414,-73.992872
PROSPECT PARK,PROSPECT PARK,40.661614,-73.962246
QUEENSBORO PLZ,QUEENSBORO PLZ,40.750582,-73.940202
RECTOR ST,RECTOR ST,40.70722,-74.013342
ROCKAWAY AV,ROCKAWAY AV,40.662549,-73.908946
ROOSEVELT ISLND,ROOSEVELT ISLND,40.759145,-73.95326
SARATOGA AV,SARATOGA AV,40.661453,-73.916327
SMITH-9 ST,SMITH-9 ST,40.67358,-73.995959
SPRING ST,SPRING ST,40.726227,-74.003739
